customer_id,loan_id,ACC_CREATION_DATETIME,APPLICATION_DATETIME,LOAN_ORIGINATION_DATETIME,max_days_late,target,account_to_application_days,n_sf_apps,first_app_date,last_app_date,n_bnpl_apps,n_bnpl_approved_apps,first_bnpl_app_date,last_bnpl_app_date,n_inquiries_l3m,n_inquiries_l6m,antiquity_account,last_app_date_to_application_days,first_app_date_to_application_days,last_bnpl_app_date_to_application_days,first_bnpl_app_date_to_application_days,first_app_date_to_last_app_date_days,first_bnpl_app_date_to_last_bnpl_app_date_days,vintage
1223,1,2021-08-23 13:57:56.000,2022-04-26 07:00:00.000,2022-10-20 18:26:35.000,5,0,245,1.0,2022-04-25 00:00:00.000,2022-04-25 00:00:00.000,1.0,0.0,2022-04-26 02:15:17.742,2022-04-26 02:15:17.742,91.0,91.0,245,1.0,1.0,0.0,0.0,0.0,0.0,2022-10
5190,2,2022-04-26 09:57:25.000,2022-04-26 07:00:00.000,2022-12-22 18:03:32.000,2,0,0,,,,,,,,,,0,,,,,,,2022-12
5194,3,2022-04-26 12:22:35.000,2022-04-26 07:00:00.000,2022-08-09 17:31:05.000,4,0,0,,,,,,,,,,0,,,,,,,2022-8
4535,5,2022-04-01 14:28:42.000,2022-04-26 07:00:00.000,2022-07-24 12:07:15.000,2,0,24,1.0,2022-04-01 00:00:00.000,2022-04-01 00:00:00.000,1.0,0.0,2022-04-01 19:37:56.185,2022-04-01 19:37:56.185,21.0,21.0,24,25.0,25.0,24.0,24.0,0.0,0.0,2022-7
3604,6,2022-02-21 11:55:32.000,2022-05-05 07:00:00.000,2022-12-08 07:12:18.000,7,0,72,1.0,2022-02-21 00:00:00.000,2022-02-21 00:00:00.000,,,,,26.0,26.0,72,73.0,73.0,,,0.0,,2022-12
271,7,2021-04-06 16:30:21.000,2022-05-05 07:00:00.000,2023-04-21 15:40:10.000,0,0,393,,,,1.0,0.0,2022-05-04 23:18:03.604,2022-05-04 23:18:03.604,11.0,11.0,393,,,0.0,0.0,,0.0,2023-4
5430,8,2022-05-05 18:28:18.000,2022-05-05 07:00:00.000,2023-01-10 20:02:22.000,0,0,0,,,,,,,,,,0,,,,,,,2023-1
4402,10,2022-03-26 18:39:59.000,2022-05-05 07:00:00.000,2023-01-17 22:43:09.000,8,0,39,,,,,,,,,,39,,,,,,,2023-1
5323,12,2022-05-01 10:46:51.000,2022-05-05 07:00:00.000,2023-03-20 15:38:17.000,0,0,3,1.0,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000,,,,,,,3,0.0,0.0,,,0.0,,2023-3
3460,13,2022-02-13 13:06:28.000,2022-05-05 07:00:00.000,2022-10-01 17:01:17.000,2,0,80,1.0,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000,,,,,,,80,0.0,0.0,,,0.0,,2022-10
3597,15,2022-02-20 20:12:04.000,2022-05-05 07:00:00.000,2022-11-11 17:58:58.000,0,0,73,2.0,2022-04-05 00:00:00.000,2022-05-05 00:00:00.000,1.0,0.0,2022-04-15 01:30:54.586,2022-04-15 01:30:54.586,33.0,33.0,73,0.0,30.0,20.0,20.0,30.0,0.0,2022-11
2888,16,2022-01-06 18:49:26.000,2022-05-05 07:00:00.000,2022-08-19 17:30:59.000,63,1,118,2.0,2022-01-06 00:00:00.000,2022-03-21 00:00:00.000,1.0,1.0,2022-03-22 01:09:37.569,2022-03-22 01:09:37.569,0.0,17.0,118,45.0,119.0,44.0,44.0,74.0,0.0,2022-8
5101,17,2022-04-21 18:09:15.000,2022-05-05 07:00:00.000,2022-07-29 17:31:11.000,0,0,13,1.0,2022-04-21 00:00:00.000,2022-04-21 00:00:00.000,1.0,0.0,2022-04-21 23:26:33.872,2022-04-21 23:26:33.872,19.0,19.0,13,14.0,14.0,13.0,13.0,0.0,0.0,2022-7
4798,18,2022-04-12 14:42:07.000,2022-05-05 07:00:00.000,2022-07-25 17:31:03.000,0,0,22,2.0,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000,1.0,0.0,2022-04-12 20:00:07.969,2022-04-12 20:00:07.969,13.0,13.0,22,0.0,0.0,22.0,22.0,0.0,0.0,2022-7
1338,19,2021-09-02 21:23:25.000,2022-05-05 07:00:00.000,2022-09-30 11:42:25.000,3,0,244,7.0,2021-09-02 00:00:00.000,2022-01-21 00:00:00.000,1.0,0.0,2022-05-03 17:23:04.797,2022-05-03 17:23:04.797,0.0,0.0,244,104.0,245.0,1.0,1.0,141.0,0.0,2022-9
3149,22,2022-01-28 17:43:24.000,2022-05-05 07:00:00.000,2022-11-08 18:16:59.000,2,0,96,,,,1.0,0.0,2022-03-21 02:10:11.433,2022-03-21 02:10:11.433,32.0,32.0,96,,,45.0,45.0,,0.0,2022-11
4368,27,2022-03-25 16:24:32.000,2022-05-05 07:00:00.000,2022-07-21 17:31:02.000,0,0,40,2.0,2022-03-26 00:00:00.000,2022-04-01 00:00:00.000,1.0,0.0,2022-03-26 17:47:45.936,2022-03-26 17:47:45.936,8.0,8.0,40,34.0,40.0,39.0,39.0,6.0,0.0,2022-7
